,exchangeCD,calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
135,CCFX,2008-05-15,1,2008-05-14,0,0,0,0
136,CCFX,2008-05-16,1,2008-05-15,1,0,0,0
137,CCFX,2008-05-17,0,2008-05-16,0,0,0,0
138,CCFX,2008-05-18,0,2008-05-16,0,0,0,0
139,CCFX,2008-05-19,1,2008-05-16,0,0,0,0
140,CCFX,2008-05-20,1,2008-05-19,0,0,0,0
141,CCFX,2008-05-21,1,2008-05-20,0,0,0,0
142,CCFX,2008-05-22,1,2008-05-21,0,0,0,0
143,CCFX,2008-05-23,1,2008-05-22,1,0,0,0
144,CCFX,2008-05-24,0,2008-05-23,0,0,0,0
145,CCFX,2008-05-25,0,2008-05-23,0,0,0,0
146,CCFX,2008-05-26,1,2008-05-23,0,0,0,0
147,CCFX,2008-05-27,1,2008-05-26,0,0,0,0
148,CCFX,2008-05-28,1,2008-05-27,0,0,0,0
149,CCFX,2008-05-29,1,2008-05-28,0,0,0,0
150,CCFX,2008-05-30,1,2008-05-29,1,1,0,0
151,CCFX,2008-05-31,0,2008-05-30,0,0,0,0
152,CCFX,2008-06-01,0,2008-05-30,0,0,0,0
153,CCFX,2008-06-02,1,2008-05-30,0,0,0,0
154,CCFX,2008-06-03,1,2008-06-02,0,0,0,0
155,CCFX,2008-06-04,1,2008-06-03,0,0,0,0
156,CCFX,2008-06-05,1,2008-06-04,0,0,0,0
157,CCFX,2008-06-06,1,2008-06-05,1,0,0,0
158,CCFX,2008-06-07,0,2008-06-06,0,0,0,0
159,CCFX,2008-06-08,0,2008-06-06,0,0,0,0
160,CCFX,2008-06-09,0,2008-06-06,0,0,0,0
161,CCFX,2008-06-10,1,2008-06-06,0,0,0,0
162,CCFX,2008-06-11,1,2008-06-10,0,0,0,0
163,CCFX,2008-06-12,1,2008-06-11,0,0,0,0
164,CCFX,2008-06-13,1,2008-06-12,1,0,0,0
165,CCFX,2008-06-14,0,2008-06-13,0,0,0,0
166,CCFX,2008-06-15,0,2008-06-13,0,0,0,0
167,CCFX,2008-06-16,1,2008-06-13,0,0,0,0
168,CCFX,2008-06-17,1,2008-06-16,0,0,0,0
169,CCFX,2008-06-18,1,2008-06-17,0,0,0,0
170,CCFX,2008-06-19,1,2008-06-18,0,0,0,0
171,CCFX,2008-06-20,1,2008-06-19,1,0,0,0
172,CCFX,2008-06-21,0,2008-06-20,0,0,0,0
173,CCFX,2008-06-22,0,2008-06-20,0,0,0,0
174,CCFX,2008-06-23,1,2008-06-20,0,0,0,0
175,CCFX,2008-06-24,1,2008-06-23,0,0,0,0
176,CCFX,2008-06-25,1,2008-06-24,0,0,0,0
177,CCFX,2008-06-26,1,2008-06-25,0,0,0,0
178,CCFX,2008-06-27,1,2008-06-26,1,0,0,0
179,CCFX,2008-06-28,0,2008-06-27,0,0,0,0
180,CCFX,2008-06-29,0,2008-06-27,0,0,0,0
181,CCFX,2008-06-30,1,2008-06-27,0,1,1,0
182,CCFX,2008-07-01,1,2008-06-30,0,0,0,0
183,CCFX,2008-07-02,1,2008-07-01,0,0,0,0
184,CCFX,2008-07-03,1,2008-07-02,0,0,0,0
185,CCFX,2008-07-04,1,2008-07-03,1,0,0,0
186,CCFX,2008-07-05,0,2008-07-04,0,0,0,0
187,CCFX,2008-07-06,0,2008-07-04,0,0,0,0
188,CCFX,2008-07-07,1,2008-07-04,0,0,0,0
189,CCFX,2008-07-08,1,2008-07-07,0,0,0,0
190,CCFX,2008-07-09,1,2008-07-08,0,0,0,0
191,CCFX,2008-07-10,1,2008-07-09,0,0,0,0
192,CCFX,2008-07-11,1,2008-07-10,1,0,0,0
193,CCFX,2008-07-12,0,2008-07-11,0,0,0,0
194,CCFX,2008-07-13,0,2008-07-11,0,0,0,0
195,CCFX,2008-07-14,1,2008-07-11,0,0,0,0
196,CCFX,2008-07-15,1,2008-07-14,0,0,0,0
197,CCFX,2008-07-16,1,2008-07-15,0,0,0,0
198,CCFX,2008-07-17,1,2008-07-16,0,0,0,0
199,CCFX,2008-07-18,1,2008-07-17,1,0,0,0
200,CCFX,2008-07-19,0,2008-07-18,0,0,0,0
201,CCFX,2008-07-20,0,2008-07-18,0,0,0,0
202,CCFX,2008-07-21,1,2008-07-18,0,0,0,0
203,CCFX,2008-07-22,1,2008-07-21,0,0,0,0
204,CCFX,2008-07-23,1,2008-07-22,0,0,0,0
205,CCFX,2008-07-24,1,2008-07-23,0,0,0,0
206,CCFX,2008-07-25,1,2008-07-24,1,0,0,0
207,CCFX,2008-07-26,0,2008-07-25,0,0,0,0
208,CCFX,2008-07-27,0,2008-07-25,0,0,0,0
209,CCFX,2008-07-28,1,2008-07-25,0,0,0,0
210,CCFX,2008-07-29,1,2008-07-28,0,0,0,0
211,CCFX,2008-07-30,1,2008-07-29,0,0,0,0
212,CCFX,2008-07-31,1,2008-07-30,0,1,0,0
213,CCFX,2008-08-01,1,2008-07-31,1,0,0,0
214,CCFX,2008-08-02,0,2008-08-01,0,0,0,0
215,CCFX,2008-08-03,0,2008-08-01,0,0,0,0
216,CCFX,2008-08-04,1,2008-08-01,0,0,0,0
217,CCFX,2008-08-05,1,2008-08-04,0,0,0,0
218,CCFX,2008-08-06,1,2008-08-05,0,0,0,0
219,CCFX,2008-08-07,1,2008-08-06,0,0,0,0
220,CCFX,2008-08-08,1,2008-08-07,1,0,0,0
221,CCFX,2008-08-09,0,2008-08-08,0,0,0,0
222,CCFX,2008-08-10,0,2008-08-08,0,0,0,0
223,CCFX,2008-08-11,1,2008-08-08,0,0,0,0
224,CCFX,2008-08-12,1,2008-08-11,0,0,0,0
225,CCFX,2008-08-13,1,2008-08-12,0,0,0,0
226,CCFX,2008-08-14,1,2008-08-13,0,0,0,0
227,CCFX,2008-08-15,1,2008-08-14,1,0,0,0
228,CCFX,2008-08-16,0,2008-08-15,0,0,0,0
229,CCFX,2008-08-17,0,2008-08-15,0,0,0,0
230,CCFX,2008-08-18,1,2008-08-15,0,0,0,0
231,CCFX,2008-08-19,1,2008-08-18,0,0,0,0
232,CCFX,2008-08-20,1,2008-08-19,0,0,0,0
233,CCFX,2008-08-21,1,2008-08-20,0,0,0,0
234,CCFX,2008-08-22,1,2008-08-21,1,0,0,0
235,CCFX,2008-08-23,0,2008-08-22,0,0,0,0
236,CCFX,2008-08-24,0,2008-08-22,0,0,0,0
237,CCFX,2008-08-25,1,2008-08-22,0,0,0,0
238,CCFX,2008-08-26,1,2008-08-25,0,0,0,0
239,CCFX,2008-08-27,1,2008-08-26,0,0,0,0
240,CCFX,2008-08-28,1,2008-08-27,0,0,0,0
241,CCFX,2008-08-29,1,2008-08-28,1,1,0,0
242,CCFX,2008-08-30,0,2008-08-29,0,0,0,0
243,CCFX,2008-08-31,0,2008-08-29,0,0,0,0
244,CCFX,2008-09-01,1,2008-08-29,0,0,0,0
245,CCFX,2008-09-02,1,2008-09-01,0,0,0,0
246,CCFX,2008-09-03,1,2008-09-02,0,0,0,0
247,CCFX,2008-09-04,1,2008-09-03,0,0,0,0
248,CCFX,2008-09-05,1,2008-09-04,1,0,0,0
249,CCFX,2008-09-06,0,2008-09-05,0,0,0,0
250,CCFX,2008-09-07,0,2008-09-05,0,0,0,0
251,CCFX,2008-09-08,1,2008-09-05,0,0,0,0
252,CCFX,2008-09-09,1,2008-09-08,0,0,0,0
253,CCFX,2008-09-10,1,2008-09-09,0,0,0,0
254,CCFX,2008-09-11,1,2008-09-10,0,0,0,0
255,CCFX,2008-09-12,1,2008-09-11,1,0,0,0
256,CCFX,2008-09-13,0,2008-09-12,0,0,0,0
257,CCFX,2008-09-14,0,2008-09-12,0,0,0,0
258,CCFX,2008-09-15,0,2008-09-12,0,0,0,0
259,CCFX,2008-09-16,1,2008-09-12,0,0,0,0
260,CCFX,2008-09-17,1,2008-09-16,0,0,0,0
261,CCFX,2008-09-18,1,2008-09-17,0,0,0,0
262,CCFX,2008-09-19,1,2008-09-18,1,0,0,0
263,CCFX,2008-09-20,0,2008-09-19,0,0,0,0
264,CCFX,2008-09-21,0,2008-09-19,0,0,0,0
265,CCFX,2008-09-22,1,2008-09-19,0,0,0,0
266,CCFX,2008-09-23,1,2008-09-22,0,0,0,0
267,CCFX,2008-09-24,1,2008-09-23,0,0,0,0
268,CCFX,2008-09-25,1,2008-09-24,0,0,0,0
